already complexed:  909009694.xml | 11670 | Alföldi Tej Értékesítő És Beszerző Kft. | Alföldi Tej Értékesítő és Beszerző Korlátolt Felelősségű Társaság
MATCHED:     | 110042974.xml | 522 | Arány Rt. | Arány Tanácsadó és Kereskedelmi Részvénytársaság"K A V I T" Tanácsadó és Kereskedelmi Részvénytársaság
MATCHED:     | 109929925.xml | 2032 | Feluba Invest Kft. | FELUBA INVEST Korlátolt Felelősségű Társaság
MATCHED:     | 109877824.xml | 7022 | OXIVIT Kft. | OXIVIT DENTAL Egészségügyi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 509008473.xml | 6011 | Zemplénkő Kelet-magyarországi Építőipari Fővállalkozó és Bányászati Kft. | ZEMPLÉNKŐ Kelet-magyarországi Építőipari Fővállalkozó és Bányászati Korlátolt Felelősségű Társaság
MATCHED:     | 110046318.xml | 4121 | Nemzetközi Vegyépszer Zrt. | NEMZETKÖZI VEGYÉPSZER Zártkörűen Működő Részvénytársaság
MATCHED:     | 109703878.xml | 3498 | Reporting Kft. | REPORTING Televíziós Műsorokat Készítő Korlátolt Felelősségű Társaság
MATCHED:     | 309111442.xml | 4704 | Banász és Társa Építőipari Kft. | BANÁSZ és TÁRSA Építőipari Korlátolt felelősségű Társaság
MATCHED:     | 109462849.xml | 7140 | Medicina B.M. Betegség Megelőző Orvosi Szolgáltató és Kereskedelmi Kft. | MEDICINA B. M. Betegség Megelőző Orvosi Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 110041986.xml | 5024 | Dalkia Energia Energetikai Szolgáltató Zrt. | Dalkia Energia Energetikai Szolgáltató Zártkörűen Működő Részvénytársaság
MATCHED:     | 1209001593.xml | 4969 | S-K-GY Építő és Szolgáltató Kft. | S-K-GY Építő és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1809106594.xml | 3991 | Szárnyasép Építő és Szolgáltató Kft. | SZÁRNYASÉP Építő és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 709002865.xml | 6088 | Fodor és Molnár Kft. | Fodor és Molnár Építőipari és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 110045558.xml | 6577 | Vianova ’87 Közmű- és Útépítő Zrt. | VIANOVA 87 Közmű és Útépítő Zártkörűen Működő Részvénytársaság
MATCHED:     | 609009278.xml | 3699 | MUÉP Építőipari Szakképző és Szolgáltató Kft. | MUÉP Építőipari Szakképző és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 909015093.xml | 2893 | Bihar-Sárrét Összefogás Kft. | BIHAR-SÁRRÉT ÖSSZEFOGÁS VIDÉKFEJLESZTÉSI NONPROFIT Korlátolt Felelősségű Társaság "felszámolás alatt"
MATCHED:     | 110044636.xml | 6841 | Multi Alarm Zrt. | "Multi Alarm" Biztonságtechnikai, Fejlesztő, Kereskedelmi és Szolgáltató Zártkörűen Működő Részvénytársaság
MATCHED:     | 109883491.xml | 925 | Pannónia Bau Kft. | Pannónia BAU ÉPÍTŐIPARI KIVITELEZŐ ÉS FELÚJÍTÁST VÉGZŐ Korlátolt Felelősségű Társaság
MATCHED:     | 906013550.xml | 5273 | Szarka és Társa 2004 Bt. | "SZARKA és TÁRSA 2004" Építő, Szolgáltató és Fémipari Betéti Társaság
MATCHED:     | 509007810.xml | 5367 | WIKTORI Ipari Kereskedelmi és Szolgáltató Kft. | WIKTORI Ipari Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1309070247.xml | 5409 | Bola 95 Kft. | BOLA 95 Építőipari, Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 109465190.xml | 1242 | Domestore Kft. | Domestore Gazdasági és Üzletviteli Tanácsadó Kft.
MATCHED:     | 110046014.xml | 21199 | Alder Vagyonkezelő Zártközűen Működő Részvénytársaság | Alder Vagyonkezelő Zártközűen Működő Részvénytársaság
MATCHED:     | 109910504.xml | 239 | PK Busrent Kft. | PK. Busrent Járműkölcsönző Korlátolt Felelősségű Társaság
MATCHED:     | 1909510505.xml | 2237 | Ber-Wal Városközpont Fejlesztő Kft. | BER-WAL Városközpont Fejlesztő Korlátolt Felelősségű Társaság
MATCHED:     | 614000135.xml | 22574 | Szeged Pólus Fejlesztési Közhasznú Társaság | Szeged Pólus Fejlesztési Közhasznú Társaság
MATCHED:     | 109730111.xml | 4049 | INTERNATIONAL AMBULANCE SERVICE KFT. | INTERNATIONAL AMBULANCE SERVICE Egészségügyi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109691601.xml | 6494 | GO! CREATIVES Kft. | GO ! Creatives Reklám és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109079971.xml | 7373 | Normálnyomtáv Kft. | "NORMÁLNYOMTÁV" Épitőipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 209072542.xml | 7111 | S és P 2004 Építőipari Kft. | S és P 2004 Építőipari Korlátolt Felelősségű Társaság
MATCHED:     | 109738529.xml | 6815 | Ernst and Young Kft. | Ernst & Young Academy of Business Oktatási Korlátolt Felelősségű Társaság
MATCHED:     | 709014338.xml | 4126 | ALBA-POSTA Kereskedelmi és Szolgáltató Kft. | Alba-Posta Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109067775.xml | 7236 | Easy Learning Hungary Készségfejlesztő Kft. | "EASY LEARNING HUNGARY" Készségfejlesztő Korlátolt Felelősségű Társaság
MATCHED:     | 1209003585.xml | 3302 | Páltelek Mezőgazdasági Kft. | PÁLTELEK Mezőgazdasági Korlátolt Felelősségű Társaság "felszámolás alatt"
MATCHED:     | 109940913.xml | 6502 | BÉKER-SOFT INFORMATIKA KFT. | BÉKER-SOFT INFORMATIKA Korlátolt Felelősségű Társaság
MATCHED:     | 109679722.xml | 5790 | Medea Services Kft. | "Medea Services" Adatfeldolgozó és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 110044818.xml | 5240 | MVM PARTNER Energiakereskedelmi Zrt. | MVM Partner Energiakereskedelmi Zártkörűen Működő Részvénytársaság
MATCHED:     | 109701971.xml | 1087 | Perspektíva Kommunikációs Ügynökség Kft. | Perspektíva Kommunikációs Ügynökség Korlátolt Felelősségű TársaságPerspektíva Kommunikációs Ügynökség Korlátolt Felelősségű Társaság "felszámolás alatt"
MATCHED:     | 909003553.xml | 5860 | NÁDÉP Építőipari és Kereskedelmi Szolgáltató Kft. | NÁDÉP Építőipari és Kereskedelmi, Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1309088992.xml | 1096 | Phonendoscop Kft. | Os Frontale Benchmarking Orvos-gyógyszerész Benchmarking, Kutató, Tanácsadó, Tanúsító, Adatfeldolgozó és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1709003290.xml | 4234 | Paksi Mérnöki Kft. | Paksi Mérnöki, Tervező, Szerelő Korlátolt Felelősségű Társaság
MATCHED:     | 209073370.xml | 5358 | Eurovill Kft. | Eurovill 2008 Kereskedelmi és Szolgáltató Korltátolt Felelősségű Társaság
MATCHED:     | 109885929.xml | 1377 | Pedrano CRD Kft. | Pedrano CRD Kivitelező Korlátolt Felelősségű Társaság
MATCHED:     | 106719215.xml | 1279 | Hír-DS Hírügynökségi Bt. | HÍR-DS Hírügynökségi Betéti Társaság
MATCHED:     | 1709006462.xml | 1166 | Szekvin Kft. | Szekvin Idegenforgalmi, Vendéglátó és Tanácsadó Korlátolt Felelősségű Társaság
MATCHED:     | 1909505742.xml | 5323 | STEINDACH KFT | STEINDACH Építőipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1309080876.xml | 2578 | Cranium Kft. | "CRANIUM" Kereskedelmi Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109685625.xml | 20379 | TRIÁSZ-AUDIT Könyvvizsgáló, Számviteli és Tanácsadó Korlátolt Felelősségű Társaság | TRIÁSZ-AUDIT Könyvvizsgáló, Számviteli és Adótanácsadó Kft.
MATCHED:     | 109263604.xml | 5698 | Sigma-Aldrich Kft. | Sigma-Aldrich Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 1206001934.xml | 7530 | Uhlár Építőipari Bt. | "UHLÁR" Építőipari Betéti Társaság
MATCHED:     | 1109009570.xml | 7341 | ÁGM Kft. | ÁGM Kereskedelmi, Szolgáltató és INSIDE WORD Utazási Iroda Korlátolt Felelősségű Társaság
MATCHED:     | 109568750.xml | 4477 | BOWLING SERVICE KFT. | BOWLING SERVICE Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109718458.xml | 699 | Meditcom Kft. | MEDITCOM Orvosi Informatikai és Kommunkációs Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109730131.xml | 170 | Cemi Kft. | CEMI Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 609002175.xml | 5822 | Szentes Városi Szolgáltató Kft. | Szentes Városi Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1309094129.xml | 7197 | M1 Autócentrum Értékesítési és Szolgáltató Kft. | M1 Autócentrum Értékesítési és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 209070862.xml | 5375 | UNI-KOM-TECH Kereskedelmi és Szolgáltató Kft. | UNI-KOM-TECH Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1109006352.xml | 3982 | Kvalitat Team Kft. | KVALITAT TEAM Szerelőipari, Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 106611209.xml | 3350 | Színfolt Film Bt. | SZÍNFOLT FILM Filmkészítő és Oktatási Szolgáltató Betéti Társaság
MATCHED:     | 309110344.xml | 20220 | Generál Centrál Építőipari és Kereskedelmi Kft. | GENERÁL CENTRÁL Építőipari és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 106772114.xml | 2966 | New Spirit Bt. | New Spirit Kulturális Szolgáltató Betéti Társaság
MATCHED:     | 109866086.xml | 6382 | LanFarm Kft. | LanFarm Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109072374.xml | 4650 | CSÚCS'91 Oktatási és Vezetési Tanácsadó Kft. | CSÚCS 91 Oktatási és Vezetési Tanácsadó Kft.
MATCHED:     | 109261971.xml | 1990 | Speed-Ex Kft. | Speed-Ex Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109733796.xml | 7615 | Prohumán 2004 Munkaerő Szolgáltató és Tanácsadó Kft. | Prohumán 2004 Munkaerő Szolgáltató és Tanácsadó Korlátolt Felelősségű Társaság
MATCHED:     | 910000101.xml | 6786 | Hajdú Volán Közlekedési Zrt. | HAJDÚ VOLÁN Közlekedési Zártkörűen Működő Részvénytársaság
MATCHED:     | 114000311.xml | 21103 | ESZA Társadalmi Szolgáltató Közhasznú Társaság | ESZA Társadalmi Szolgáltató Közhasznú Társaság
MATCHED:     | 509006345.xml | 5277 | Bodonyi Építész Kft. | BODONYI Építész Korlátolt Felelősségű Társaság
MATCHED:     | 709009893.xml | 3357 | Duna-Hír Kft. | DUNA-HÍR Lapkiadó és Reklámszolgáltató Korlátolt Felelősségű Társaság "felszámolás alatt "
MATCHED:     | 1710001113.xml | 4221 | Paksi Atomerőmű Zrt. | Paksi Atomerőmű Zártkörűen Működő Részvénytársaság
MATCHED:     | 109167204.xml | 1824 | Xerox Magyarország Kft. | XEROX Magyarország Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 1509066677.xml | 5940 | Gyarmat Építő Szolgáltató és Kereskedelmi Kft. | GYARMAT Építő-, Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 609001944.xml | 2058 | Autorail Kft. | AUTORAIL Javító, Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 809004584.xml | 4683 | PBS Hungária Kft. | PBS HUNGÁRIA Papír,- Iroda és Írószer Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 110041762.xml | 4992 | Egis Gyógyszergyár Nyrt. | EGIS Gyógyszergyár Nyilvánosan Működő Részvénytársaság
MATCHED:     | 209074441.xml | 4152 | BI-Perfect Kereskedelmi és Szolgáltató Kft. | BI-Perfect Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1309083049.xml | 5428 | CONTROLL SIDE SZOLGÁLTATÓ Kft. | CONTROLL SIDE Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109724931.xml | 7292 | Dolphio Kft. | Dolphio Consulting Tanácsadó és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1109009925.xml | 6055 | Barina Kft. | Barina és Társa Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 106710034.xml | 3204 | Ghanima Bt. | Ghanima Kereskedelmi és Szolgáltató Betéti Társaság
MATCHED:     | 110043266.xml | 834 | Magyar Befektetési és Vagyonkezelő Rt. | Magyar Befektetési és Vagyonkezelő Zártkörűen Működő Részvénytársaság
MATCHED:     | 109904818.xml | 5320 | Fogaskerék és Alkatrészgyártó Centrum Kft. | Fogaskerék és Alkatrészgyártó Centrum Korlátolt Felelősségű Társaság
MATCHED:     | 309100240.xml | 5839 | MERKBAU Építőipari és Kereskedelmi Kft. | MERKBAU Építőipari és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 110041120.xml | 21009 | Danubius Szállodaüzemeltető és Szolgáltató Zártkörűen Működő Részvénytársaság | Danubius Szállodaüzemeltető és Szolgáltató Zártkörűen Működő Részvénytársaság
MATCHED:     | 909008287.xml | 1934 | Alföld Bau 2001 Kft. | ALFÖLD BAU 2001. Épitőipari, Ingatlanforgalmazó, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1009020491.xml | 5308 | Hesi Heves Megyei Sütő- és Édesipari Kft. | HESI Heves megyei Sütő- és Édesipari Kft.
MATCHED:     | 409006247.xml | 3867 | ATI-PÉK Kft. | ATI-PÉK Oktató és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 1309122721.xml | 6075 | SMART INFO Kereskedelmi és Szolgáltató Kft. | SMART INFO Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1409302069.xml | 1710 | Somogyi Erdészeti és Faipari Rt. (Sefag) | SEFAG Mag-Csemete Korlátolt Felelősségű Társaság"SEFAG Mag-Csemete" Termelő és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 106743025.xml | 1734 | K.L. Kommunikációs Bt. | K. L. Kommunikációs Szolgáltató Iroda Betéti Társaság
MATCHED:     | 109060771.xml | 1708 | Égszi Senior Kft. | ÉGSZI SENIOR Kutató és Szervező Kft.
MATCHED:     | 509002740.xml | 688 | Eurofém Hungary Kft. | EUROFÉM HUNGARY Kereskedelmi Korlátolt felelősségű társaság
MATCHED:     | 109883067.xml | 2131 | Canelones Kft. | Canelones Humán Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 909000459.xml | 3008 | Delog Kft. | DELOG Debreceni Logisztikai Központ és Ipari Park Korlátolt Felelősségű Társaság
MATCHED:     | 109067698.xml | 3550 | Colorspectrum Kft. | COLORSPECTRUM Kereskedelmi Termelő és Szolgáltató Kft.
MATCHED:     | 109729508.xml | 977 | Rózsakert Ház Kft. | RÓZSAKERT HÁZ Ingatlanforgalmazó és Beruházó Korlátolt Felelősségű Társaság
MATCHED:     | 1309067573.xml | 3556 | Sasinter Kft. | SASINTER Vállalkozási és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109719052.xml | 4415 | SZEKERÁK KFT. | "SZEKERÁK" Épületgépészeti Generálkivitelező Korlátolt Felelősségű Társaság
MATCHED:     | 109360057.xml | 1717 | 3G-Consulting Kft. | "3G" - Consulting Gazdasági Tanácsadó és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109565265.xml | 4203 | KÖMI Közlekedésmérnöki Iroda Mérnöki Szolgáltató Kft. | KÖMI Közlekedésmérnöki Iroda Mérnöki Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1006026505.xml | 6147 | MOZAIK Építész Műhely Bt. | MOZAIK Építész Műhely Tervező és Szolgáltató Betéti Társaság
MATCHED:     | 109704285.xml | 605 | Enviroduna Kft. | ENVIRODUNA Beruházás Előkészítő Korlátolt Felelősségű Társaság
MATCHED:     | 1609005700.xml | 5905 | AGROFF Kft. | AGROFF Mezőgazdasági Termelő, Értékesítő és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109891210.xml | 3154 | Metalelektro Kft. | METALELEKTRO MÉRÉSTECHNIKA Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 810001590.xml | 2544 | Lővér Sütő Zrt. | Lővér Sütő Zártkörűen Működő Részvénytársaság
MATCHED:     | 109870655.xml | 1652 | Perfect Pack Kft. | "PERFECT PACK" Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 609006751.xml | 4766 | MAKÉP Kft. | MAKÉP 2000 Építőipari és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 1409302107.xml | 905 | Somogyi Média Kft. | SOMOGYI MÉDIA Telekommunikációs Szolgáltató és Kereskedelmi Korlátolt Felelősségű Társaság
MATCHED:     | 309110162.xml | 4717 | Branau Kft. | BRANAU'2002 Mezőgazdasági- Termelő és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109919323.xml | 3817 | Várgondnokság Nonprofit Kft. | Várgondnokság Nonprofit Korlátolt Felelősségű Társaság
MATCHED:     | 109568827.xml | 6700 | Urgent-Med Kft.. | URGENT-MED Orvostechnikai Korlátolt Felelősségű Társaság
MATCHED:     | 810001573.xml | 1681 | Kisalföld Volán Zrt. | Kisalföld Volán Közlekedési Zártkörűen Működő Részvénytársaság
MATCHED:     | 110042854.xml | 23282 | ÁFI Felszámoló és Vagyonkezelő Zártkörűen Működő Részvénytársaság | ÁFI Felszámoló és Vagyonkezelő Zártkörűen Működő Részvénytársaság
MATCHED:     | 1109002120.xml | 23255 | REM-DUNAMENTI Szolgáltató Korlátolt Felelősségű Társaság | REM-DUNAMENTI Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 409007415.xml | 6964 | Magyar Termés TÉSZ Kft | MAGYAR TERMÉS TÉSZ Termelői Értékesítő Korlátolt Felelősségű Társaság
MATCHED:     | 309109450.xml | 6634 | Hírös Kft. | "HÍRÖS" DOBOZ Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109693739.xml | 1530 | One Nation Communications Kft. | ONE NATION Communications Tanácsadó Korlátolt Felelősségű Társaság
MATCHED:     | 810001793.xml | 3228 | Ceres Zrt. | Ceres Sütőipari Zártkörűen Működő Részvénytársaság
MATCHED:     | 109065285.xml | 7273 | Creatio Városrendezési, Építészmérnöki, Műszaki Tervező Kft. | CREATIO Városrendezési, Építészmérnöki, Műszaki Tervező és Tanácsadó Korlátolt Felelősségű Társaság
MATCHED:     | 110041348.xml | 4293 | UniCredit Bank Hungary Zrt. | Bank Austria Creditanstalt Magyarország Rt.UniCredit Bank Hungary Zártkörűen Működő Részvénytársaság
MATCHED:     | 109065996.xml | 2063 | Konica Minolta Kft. | Konica Minolta Magyarország Üzleti Megoldások Korlátolt Felelősségű Társaság
MATCHED:     | 106713755.xml | 2229 | GJZ Bt. | GJZ Szolgáltató Betéti Társaság
MATCHED:     | 1909504257.xml | 306 | Peron Kft. | "Peron 98" Vendéglátóipari és Szolgáltató Korlátolt Felelősségű Társaság "felszámolás alatt"
MATCHED:     | 109876228.xml | 784 | Kontakt-Busz Kft. | Kontakt-Busz Közlekedési Tanácsadó és Szolgáltató Korlátolt Felelősségű Társaság
MATCHED:     | 109884137.xml | 2486 | Új Terv Kft. | ÚJ TERV Ingatlanfejlesztő és Beruházó Korlátolt Felelősségű Társaság
MATCHED:     | 109863049.xml | 6962 | Microsound Kereskedelmi és Szolgáltató Kft. | "MICROSOUND" KERESKEDELMI ÉS SZOLGÁLTATÓ KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG
MATCHED:     | 109467858.xml | 6204 | Gázkar Kft. | "GÁZKAR" KÖZMŰ és MÉLYÉPÍTŐ Korlátolt Felelősségű Társaság
MATCHED:     | 409007055.xml | 6274 | Berényi Fivérek Kft. | "BERÉNYI FIVÉREK" Építőipari és Szolgáltató Korlátolt Felelősségű Társaság
